movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_age,wmean_age,count_female,status,bechdel_test
890112,Where the Heart Is,1990,1254,6.32,2.4,1106475,2016-08-02,director,1,1,57,57,0,all male,3
890112,Where the Heart Is,1990,1254,6.32,2.4,1106475,2016-08-02,writer,2,1,45,45,1,mixed,3
890113,Where the Heart Is,2000,26662,6.55,2.479,33771174,2000-09-03,actsin,43,19,29.3953488372093,33.0225351151753,24,mixed,3
890113,Where the Heart Is,2000,26662,6.55,2.479,33771174,2000-09-03,writer,2,2,51.5,52,0,all male,3
890234,Where the Wild Things Are,2009,86688,6.77,2.467,77233467,2016-08-02,actsin,15,12,39.4666666666667,25.107110062905,3,mixed,1
890234,Where the Wild Things Are,2009,86688,6.77,2.467,77233467,2016-08-02,director,1,1,40,40,0,all male,1
890234,Where the Wild Things Are,2009,86688,6.77,2.467,77233467,2016-08-02,writer,3,3,53.3333333333333,58.1422266950021,0,all male,1
890643,While We're Young,2014,28657,6.05,2.121,7574066,2015-06-21,actsin,19,13,47.6842105263158,47.2516442448365,6,mixed,3
890643,While We're Young,2014,28657,6.05,2.121,7574066,2015-06-21,director,1,1,45,45,0,all male,3
890643,While We're Young,2014,28657,6.05,2.121,7574066,2015-06-21,writer,1,1,45,45,0,all male,3
890656,While You Were Sleeping,1995,70168,6.38,2.306,81057016,2016-08-02,actsin,18,13,46.8888888888889,47.0302522887545,5,mixed,3
890656,While You Were Sleeping,1995,70168,6.38,2.306,81057016,2016-08-02,director,1,1,32,32,0,all male,3
890673,Whip It,2009,54877,6.41,2.167,13043363,2009-12-10,actsin,26,13,32.4230769230769,29.484047309785,13,mixed,3
890673,Whip It,2009,54877,6.41,2.167,13043363,2009-12-10,director,1,0,34,34,1,all female,3
890685,Whiplash,2014,377629,7.5,2.5,13092000,2016-08-02,actsin,12,8,44.9166666666667,42.8479779654061,4,mixed,1
